#{"t_start": 1741987539.25615, "env_id": "None"}
r,l,t
92.097778,1489,2.622493
-55094.527209,1489,4.831679
-55094.527209,1489,6.183522
-55094.527209,1489,7.471074
-55094.527209,1489,8.823559
-55094.527209,1489,10.115879
102.415125,1489,12.855526
-567.906686,1489,15.549258
-567.906686,1489,17.510246
-567.906686,1489,19.397729
-567.906686,1489,21.404098
-567.906686,1489,23.379224
114.32055,1489,25.967797
-375.987224,1489,28.721556
-375.987224,1489,30.741701
-375.987224,1489,32.79091
-375.987224,1489,34.722393
-375.987224,1489,36.649907
124.195986,1489,39.255521
-2.450386,1489,42.513441
-2.450386,1489,44.710573
-2.450386,1489,46.899928
-2.450386,1489,49.090375
-2.450386,1489,51.395289
124.668068,1489,54.139756
-86.720547,1489,56.907281
-86.720547,1489,58.988686
-86.720547,1489,60.953446
-86.720547,1489,62.935722
-86.720547,1489,64.896934
122.089191,1489,67.410068
-29.620571,1489,70.539981
-29.620571,1489,72.581246
-29.620571,1489,74.632842
-29.620571,1489,76.67485
-29.620571,1489,78.856733
123.783599,1489,81.421348
35.926933,1489,84.529274
35.926933,1489,86.889294
35.926933,1489,89.338993
35.926933,1489,91.590938
35.926933,1489,93.85757
124.713524,1489,96.557834
80.470216,1489,99.725124
80.470216,1489,102.046122
80.470216,1489,104.534739
80.470216,1489,106.858239
80.470216,1489,109.17869
130.548973,1489,111.776827
26.736716,1489,115.011217
26.736716,1489,117.444791
26.736716,1489,119.669412
26.736716,1489,122.020774
26.736716,1489,124.26809
129.840246,1489,126.926332
58.560661,1489,130.258199
58.560661,1489,132.549734
58.560661,1489,134.843155
58.560661,1489,137.137023
58.560661,1489,139.628217
131.899512,1489,142.171842
122.468653,1489,145.58551
122.468653,1489,148.441859
122.468653,1489,150.947533
122.468653,1489,153.63649
122.468653,1489,156.179513
135.144381,1489,158.914399
102.759374,1489,162.487644
102.759374,1489,164.960268
102.759374,1489,167.533082
102.759374,1489,169.989636
102.759374,1489,172.434
124.243159,1489,175.279398
105.873177,1489,178.760939
105.873177,1489,181.212978
105.873177,1489,183.815281
105.873177,1489,186.25425
105.873177,1489,188.703734
132.511044,1489,191.374939
69.142633,1489,195.277037
69.142633,1489,197.745538
69.142633,1489,200.168801
69.142633,1489,202.950651
69.142633,1489,205.298069
127.733782,1489,207.926612
137.583051,1489,211.555874
137.583051,1489,214.136227
137.583051,1489,216.809214
137.583051,1489,219.629361
137.583051,1489,222.21744
134.012917,1489,225.084429
82.799229,1489,228.582333
82.799229,1489,231.014422
82.799229,1489,233.562046
82.799229,1489,236.04064
82.799229,1489,238.624053
127.942797,1489,241.381776
101.498755,1489,244.880581
101.498755,1489,247.867718
101.498755,1489,250.360815
101.498755,1489,252.837635
101.498755,1489,255.28614
134.205505,1489,258.070357
101.995181,1489,261.471672
101.995181,1489,263.951859
101.995181,1489,266.593052
101.995181,1489,269.077643
101.995181,1489,271.763454
138.985704,1489,274.551776
71.879068,1489,277.921813
71.879068,1489,280.350019
71.879068,1489,282.892077
71.879068,1489,285.40292
71.879068,1489,287.699361
126.206661,1489,290.347148
102.652744,1489,293.686576
102.652744,1489,296.275204
102.652744,1489,298.620684
102.652744,1489,301.110602
102.652744,1489,303.495101
128.065383,1489,306.076937
96.226134,1489,309.513045
96.226134,1489,312.353506
96.226134,1489,314.92253
96.226134,1489,317.361497
96.226134,1489,319.794231
130.01194,1489,322.463995
89.524576,1489,325.905668
89.524576,1489,328.416965
89.524576,1489,331.026386
89.524576,1489,333.447626
89.524576,1489,335.853373
134.66223,1489,338.683304
118.598609,1489,342.087345
118.598609,1489,344.64617
118.598609,1489,347.266884
118.598609,1489,349.840768
118.598609,1489,352.326868
122.360408,1489,355.241933
